----------------------------------------ARGUMENTS----------------------------------------
data_path                                ../../datasets/Amazon/MoviesAndTv/reviews.pickle
index_dir                                ../../datasets/Amazon/MoviesAndTv/1
emsize                                   512
nhead                                    2
nhid                                     2048
nlayers                                  2
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   100
batch_size                               128
seed                                     1111
cuda                                     True
log_interval                             200
checkpoint                               ./models/AmazonMovies/
outf                                     generatedmovies.txt
vocab_size                               20000
endure_times                             5
rating_reg                               0.1
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
----------------------------------------ARGUMENTS----------------------------------------
[2022-05-05 11:19:09.422690]: Loading data
HALO
MLP(
  (linear1): Linear(in_features=512, out_features=512, bias=True)
  (linear2): Linear(in_features=512, out_features=1, bias=True)
  (sigmoid): Sigmoid()
)
[2022-05-05 11:19:21.036007]: epoch 1
[2022-05-05 11:19:42.373426]: context ppl 2357.1176 | text ppl 1653.0324 | rating loss 10.2867 |   200/ 2762 batches
[2022-05-05 11:41:40.751409]: context ppl 543.5905 | text ppl 60.8744 | rating loss 1.1778 |  1800/ 2762 batches
[2022-05-05 11:42:03.156383]: context ppl 544.7118 | text ppl 60.6038 | rating loss 1.1819 |  2000/ 2762 batches
[2022-05-05 11:42:24.043026]: context ppl 540.8955 | text ppl 60.8062 | rating loss 1.1433 |  2200/ 2762 batches
[2022-05-05 11:42:45.670795]: context ppl 544.0666 | text ppl 60.5829 | rating loss 1.1499 |  2400/ 2762 batches
[2022-05-05 11:43:05.264340]: context ppl 547.0830 | text ppl 61.1633 | rating loss 1.1373 |  2600/ 2762 batches
[2022-05-05 11:43:21.245105]: context ppl 544.9593 | text ppl 60.8779 | rating loss 1.1231 |  2762/ 2762 batches
[2022-05-05 11:43:34.051692]: context ppl 539.5053 | text ppl 56.4342 | rating loss 1.0428 | valid loss 5.0759 on validation
[2022-05-05 11:43:34.340726]: epoch 6
[2022-05-05 11:43:55.805045]: context ppl 537.1159 | text ppl 56.7302 | rating loss 1.0899 |   200/ 2762 batches
[2022-05-05 11:44:15.526103]: context ppl 527.7860 | text ppl 55.9530 | rating loss 1.1018 |   400/ 2762 batches
[2022-05-05 11:44:36.231076]: context ppl 529.3597 | text ppl 56.9068 | rating loss 1.0771 |   600/ 2762 batches
[2022-05-05 11:44:56.081696]: context ppl 532.3404 | text ppl 56.6226 | rating loss 1.0797 |   800/ 2762 batches
[2022-05-05 11:45:15.940211]: context ppl 531.2389 | text ppl 57.1637 | rating loss 1.1015 |  1000/ 2762 batches
[2022-05-05 11:45:36.793646]: context ppl 528.4969 | text ppl 56.8811 | rating loss 1.0848 |  1200/ 2762 batches
[2022-05-05 11:45:57.743878]: context ppl 530.9332 | text ppl 56.5080 | rating loss 1.0793 |  1400/ 2762 batches
[2022-05-05 11:46:17.481867]: context ppl 529.3129 | text ppl 56.4628 | rating loss 1.0792 |  1600/ 2762 batches
[2022-05-05 11:46:38.803028]: context ppl 526.6320 | text ppl 56.1664 | rating loss 1.0689 |  1800/ 2762 batches
[2022-05-05 11:46:58.351473]: context ppl 534.2495 | text ppl 57.2382 | rating loss 1.0674 |  2000/ 2762 batches
[2022-05-05 11:47:19.978980]: context ppl 533.3687 | text ppl 57.3033 | rating loss 1.0738 |  2200/ 2762 batches
[2022-05-05 11:47:39.366714]: context ppl 528.9380 | text ppl 56.5819 | rating loss 1.0688 |  2400/ 2762 batches
[2022-05-05 11:47:59.499001]: context ppl 528.2077 | text ppl 56.2870 | rating loss 1.0725 |  2600/ 2762 batches
[2022-05-05 11:48:16.253016]: context ppl 531.6558 | text ppl 56.3772 | rating loss 1.0345 |  2762/ 2762 batches
[2022-05-05 11:48:28.467358]: context ppl 528.8734 | text ppl 54.1793 | rating loss 0.9910 | valid loss 4.9833 on validation
[2022-05-05 11:48:28.749398]: epoch 7
[2022-05-05 11:48:49.341322]: context ppl 515.7165 | text ppl 52.6612 | rating loss 1.0132 |   200/ 2762 batches
[2022-05-05 11:49:08.937155]: context ppl 516.4838 | text ppl 52.7987 | rating loss 1.0342 |   400/ 2762 batches
[2022-05-05 11:49:28.891457]: context ppl 515.6508 | text ppl 52.6732 | rating loss 1.0030 |   600/ 2762 batches
[2022-05-05 11:49:49.460946]: context ppl 518.1422 | text ppl 53.2613 | rating loss 1.0360 |   800/ 2762 batches
[2022-05-05 11:50:09.788393]: context ppl 511.3805 | text ppl 52.7368 | rating loss 1.0082 |  1000/ 2762 batches
[2022-05-05 11:50:29.987320]: context ppl 518.6624 | text ppl 53.3700 | rating loss 1.0119 |  1200/ 2762 batches
[2022-05-05 11:50:50.521192]: context ppl 516.3105 | text ppl 53.6374 | rating loss 1.0268 |  1400/ 2762 batches
[2022-05-05 11:51:10.730067]: context ppl 523.2874 | text ppl 54.2662 | rating loss 1.0170 |  1600/ 2762 batches
[2022-05-05 11:51:31.656574]: context ppl 519.0188 | text ppl 53.8868 | rating loss 1.0195 |  1800/ 2762 batches
[2022-05-05 11:51:52.304788]: context ppl 516.2650 | text ppl 53.2705 | rating loss 1.0170 |  2000/ 2762 batches
[2022-05-05 11:52:11.706331]: context ppl 519.1579 | text ppl 53.4586 | rating loss 1.0308 |  2200/ 2762 batches
[2022-05-05 11:52:31.306184]: context ppl 513.6247 | text ppl 53.0116 | rating loss 1.0317 |  2400/ 2762 batches
[2022-05-05 11:52:51.030290]: context ppl 520.7903 | text ppl 53.8300 | rating loss 1.0281 |  2600/ 2762 batches
[2022-05-05 11:53:06.666705]: context ppl 514.7964 | text ppl 52.9205 | rating loss 1.0412 |  2762/ 2762 batches
[2022-05-05 11:53:18.967760]: context ppl 521.3054 | text ppl 52.3423 | rating loss 0.9876 | valid loss 4.9454 on validation
[2022-05-05 11:53:19.265762]: epoch 8
[2022-05-05 11:53:38.863715]: context ppl 502.8538 | text ppl 49.7365 | rating loss 0.9977 |   200/ 2762 batches
[2022-05-05 11:53:58.354670]: context ppl 502.2480 | text ppl 49.7132 | rating loss 0.9765 |   400/ 2762 batches
[2022-05-05 11:54:18.329854]: context ppl 504.6823 | text ppl 50.2895 | rating loss 0.9986 |   600/ 2762 batches
[2022-05-05 11:54:37.760259]: context ppl 511.2750 | text ppl 50.6679 | rating loss 1.0099 |   800/ 2762 batches
[2022-05-05 11:54:57.546017]: context ppl 502.2168 | text ppl 50.3339 | rating loss 0.9756 |  1000/ 2762 batches
[2022-05-05 11:55:17.121365]: context ppl 505.7149 | text ppl 50.5197 | rating loss 1.0002 |  1200/ 2762 batches
[2022-05-05 11:55:36.751292]: context ppl 505.9056 | text ppl 50.5167 | rating loss 0.9770 |  1400/ 2762 batches
[2022-05-05 11:55:56.645887]: context ppl 503.4207 | text ppl 50.3480 | rating loss 0.9950 |  1600/ 2762 batches
[2022-05-05 11:56:16.056380]: context ppl 507.1881 | text ppl 51.0972 | rating loss 1.0023 |  1800/ 2762 batches
[2022-05-05 11:56:35.897985]: context ppl 507.1711 | text ppl 51.1462 | rating loss 0.9945 |  2000/ 2762 batches
[2022-05-05 11:56:55.627170]: context ppl 503.3311 | text ppl 50.6966 | rating loss 0.9912 |  2200/ 2762 batches
[2022-05-05 11:57:14.827705]: context ppl 506.2849 | text ppl 50.9293 | rating loss 0.9991 |  2400/ 2762 batches
[2022-05-05 11:57:34.225834]: context ppl 508.4242 | text ppl 51.3127 | rating loss 0.9971 |  2600/ 2762 batches
[2022-05-05 11:57:50.286327]: context ppl 498.8730 | text ppl 50.0810 | rating loss 0.9773 |  2762/ 2762 batches
[2022-05-05 11:58:02.816294]: context ppl 512.5394 | text ppl 50.9505 | rating loss 0.9661 | valid loss 4.8970 on validation
[2022-05-05 11:58:03.206655]: epoch 9
[2022-05-05 11:58:22.763910]: context ppl 492.5151 | text ppl 47.3406 | rating loss 0.9654 |   200/ 2762 batches
[2022-05-05 11:58:41.969647]: context ppl 492.5773 | text ppl 47.6070 | rating loss 0.9767 |   400/ 2762 batches
[2022-05-05 11:59:01.234706]: context ppl 492.2120 | text ppl 47.5595 | rating loss 0.9418 |   600/ 2762 batches
[2022-05-05 11:59:20.443245]: context ppl 492.7429 | text ppl 48.2345 | rating loss 0.9739 |   800/ 2762 batches
[2022-05-05 11:59:39.649716]: context ppl 492.5924 | text ppl 47.8426 | rating loss 0.9827 |  1000/ 2762 batches
[2022-05-05 11:59:58.856479]: context ppl 492.7307 | text ppl 47.8834 | rating loss 0.9853 |  1200/ 2762 batches
[2022-05-05 12:00:18.064631]: context ppl 497.2657 | text ppl 48.8296 | rating loss 0.9819 |  1400/ 2762 batches
[2022-05-05 12:00:37.264483]: context ppl 493.7224 | text ppl 48.2921 | rating loss 0.9679 |  1600/ 2762 batches
[2022-05-05 12:00:56.469103]: context ppl 494.2934 | text ppl 48.1515 | rating loss 0.9791 |  1800/ 2762 batches
[2022-05-05 12:01:15.855532]: context ppl 497.0449 | text ppl 48.7012 | rating loss 0.9506 |  2000/ 2762 batches
[2022-05-05 12:01:35.066255]: context ppl 492.0699 | text ppl 48.3859 | rating loss 0.9785 |  2200/ 2762 batches
[2022-05-05 12:01:54.265274]: context ppl 491.2075 | text ppl 48.6763 | rating loss 0.9952 |  2400/ 2762 batches
[2022-05-05 12:02:13.475683]: context ppl 499.1904 | text ppl 48.9786 | rating loss 0.9787 |  2600/ 2762 batches
[2022-05-05 12:02:28.961729]: context ppl 497.5198 | text ppl 48.6801 | rating loss 0.9719 |  2762/ 2762 batches
[2022-05-05 12:02:41.045475]: context ppl 507.4519 | text ppl 49.8352 | rating loss 0.9546 | valid loss 4.8634 on validation
[2022-05-05 12:02:41.337534]: epoch 10
[2022-05-05 12:03:00.693929]: context ppl 485.1815 | text ppl 45.6827 | rating loss 0.9263 |   200/ 2762 batches
[2022-05-05 12:03:20.149742]: context ppl 484.0857 | text ppl 45.8594 | rating loss 0.9489 |   400/ 2762 batches
[2022-05-05 12:03:39.928319]: context ppl 480.4240 | text ppl 45.5189 | rating loss 0.9353 |   600/ 2762 batches
[2022-05-05 12:03:59.529085]: context ppl 482.3190 | text ppl 45.7881 | rating loss 0.9679 |   800/ 2762 batches
[2022-05-05 12:04:19.069603]: context ppl 482.7520 | text ppl 46.2767 | rating loss 0.9459 |  1000/ 2762 batches
[2022-05-05 12:04:38.357234]: context ppl 482.9738 | text ppl 45.9776 | rating loss 0.9682 |  1200/ 2762 batches
[2022-05-05 12:04:57.502897]: context ppl 480.0382 | text ppl 46.0379 | rating loss 0.9583 |  1400/ 2762 batches
[2022-05-05 12:05:16.652077]: context ppl 485.4210 | text ppl 46.4556 | rating loss 0.9818 |  1600/ 2762 batches
[2022-05-05 12:05:35.799117]: context ppl 485.4306 | text ppl 46.5548 | rating loss 0.9642 |  1800/ 2762 batches
[2022-05-05 12:05:54.946222]: context ppl 487.2845 | text ppl 46.5987 | rating loss 0.9667 |  2000/ 2762 batches
[2022-05-05 12:06:14.094387]: context ppl 486.4144 | text ppl 46.9166 | rating loss 0.9667 |  2200/ 2762 batches
[2022-05-05 12:06:33.247274]: context ppl 480.7423 | text ppl 46.3095 | rating loss 0.9488 |  2400/ 2762 batches
[2022-05-05 12:06:52.408053]: context ppl 485.3625 | text ppl 46.7768 | rating loss 0.9665 |  2600/ 2762 batches
[2022-05-05 12:07:07.859219]: context ppl 489.4524 | text ppl 47.3865 | rating loss 0.9685 |  2762/ 2762 batches
[2022-05-05 12:07:19.903863]: context ppl 501.9590 | text ppl 48.6098 | rating loss 0.9516 | valid loss 4.8354 on validation
[2022-05-05 12:07:20.211892]: epoch 11
[2022-05-05 12:07:39.531956]: context ppl 469.8101 | text ppl 43.2838 | rating loss 0.9373 |   200/ 2762 batches
[2022-05-05 12:07:58.691134]: context ppl 475.8866 | text ppl 44.3271 | rating loss 0.9423 |   400/ 2762 batches
[2022-05-05 12:08:17.839400]: context ppl 473.5875 | text ppl 44.3069 | rating loss 0.9421 |   600/ 2762 batches
[2022-05-05 12:08:37.000311]: context ppl 472.9526 | text ppl 44.0461 | rating loss 0.9369 |   800/ 2762 batches
[2022-05-05 12:08:56.162077]: context ppl 475.2652 | text ppl 44.3527 | rating loss 0.9253 |  1000/ 2762 batches
[2022-05-05 12:09:15.314078]: context ppl 474.9281 | text ppl 44.7252 | rating loss 0.9358 |  1200/ 2762 batches
[2022-05-05 12:09:34.470821]: context ppl 473.9887 | text ppl 44.3943 | rating loss 0.9456 |  1400/ 2762 batches
[2022-05-05 12:09:53.627075]: context ppl 473.3982 | text ppl 43.9002 | rating loss 0.9514 |  1600/ 2762 batches
[2022-05-05 12:10:12.785247]: context ppl 472.7315 | text ppl 44.6988 | rating loss 0.9441 |  1800/ 2762 batches
[2022-05-05 12:10:31.932653]: context ppl 476.7607 | text ppl 44.9296 | rating loss 0.9605 |  2000/ 2762 batches
[2022-05-05 12:10:51.094472]: context ppl 475.6658 | text ppl 44.8352 | rating loss 0.9370 |  2200/ 2762 batches
[2022-05-05 12:11:10.243759]: context ppl 480.8840 | text ppl 45.5545 | rating loss 0.9637 |  2400/ 2762 batches
[2022-05-05 12:11:29.394107]: context ppl 474.6928 | text ppl 45.0477 | rating loss 0.9568 |  2600/ 2762 batches
[2022-05-05 12:11:44.842607]: context ppl 477.9950 | text ppl 45.6960 | rating loss 0.9562 |  2762/ 2762 batches
[2022-05-05 12:11:56.876613]: context ppl 498.6272 | text ppl 47.9334 | rating loss 0.9786 | valid loss 4.8484 on validation
[2022-05-05 12:11:56.876613]: Endured 1 time(s)
[2022-05-05 12:11:56.877613]: Learning rate set to 0.25000000
[2022-05-05 12:11:56.877613]: epoch 12
[2022-05-05 12:12:16.205826]: context ppl 453.7761 | text ppl 40.1247 | rating loss 0.9079 |   200/ 2762 batches
[2022-05-05 12:12:35.344570]: context ppl 450.7650 | text ppl 39.3181 | rating loss 0.8935 |   400/ 2762 batches
[2022-05-05 12:12:54.482092]: context ppl 449.8392 | text ppl 38.5909 | rating loss 0.8685 |   600/ 2762 batches
[2022-05-05 12:13:13.630045]: context ppl 445.9505 | text ppl 38.3577 | rating loss 0.8961 |   800/ 2762 batches
[2022-05-05 12:13:32.786315]: context ppl 445.9388 | text ppl 38.3541 | rating loss 0.8951 |  1000/ 2762 batches
[2022-05-05 12:13:51.943709]: context ppl 447.7719 | text ppl 38.2966 | rating loss 0.8937 |  1200/ 2762 batches
[2022-05-05 12:14:11.113481]: context ppl 447.2588 | text ppl 38.3115 | rating loss 0.8978 |  1400/ 2762 batches
[2022-05-05 12:14:30.271862]: context ppl 449.7248 | text ppl 38.6552 | rating loss 0.8930 |  1600/ 2762 batches
[2022-05-05 12:14:49.419831]: context ppl 451.9722 | text ppl 38.2116 | rating loss 0.8920 |  1800/ 2762 batches
[2022-05-05 12:15:08.577897]: context ppl 448.8294 | text ppl 38.4304 | rating loss 0.8827 |  2000/ 2762 batches
[2022-05-05 12:15:27.733560]: context ppl 448.5517 | text ppl 38.1416 | rating loss 0.8808 |  2200/ 2762 batches
[2022-05-05 12:15:46.879015]: context ppl 450.4082 | text ppl 38.3235 | rating loss 0.9000 |  2400/ 2762 batches
[2022-05-05 12:16:06.033362]: context ppl 447.2234 | text ppl 38.2449 | rating loss 0.9015 |  2600/ 2762 batches
[2022-05-05 12:16:21.490798]: context ppl 449.7970 | text ppl 38.1479 | rating loss 0.8863 |  2762/ 2762 batches
[2022-05-05 12:16:33.554434]: context ppl 489.1692 | text ppl 44.3851 | rating loss 0.9358 | valid loss 4.7287 on validation
[2022-05-05 12:16:33.896435]: epoch 13
[2022-05-05 12:16:53.210296]: context ppl 434.5629 | text ppl 36.4788 | rating loss 0.8767 |   200/ 2762 batches
[2022-05-05 12:17:12.362053]: context ppl 440.6761 | text ppl 37.1038 | rating loss 0.8678 |   400/ 2762 batches
[2022-05-05 12:17:31.522259]: context ppl 441.5035 | text ppl 36.8308 | rating loss 0.8916 |   600/ 2762 batches
[2022-05-05 12:17:50.685466]: context ppl 440.5776 | text ppl 36.6596 | rating loss 0.8889 |   800/ 2762 batches
[2022-05-05 12:18:09.841688]: context ppl 440.2020 | text ppl 36.8247 | rating loss 0.8832 |  1000/ 2762 batches
[2022-05-05 12:18:28.983640]: context ppl 448.8010 | text ppl 37.4085 | rating loss 0.8832 |  1200/ 2762 batches
[2022-05-05 12:18:48.135510]: context ppl 447.1972 | text ppl 37.5181 | rating loss 0.8796 |  1400/ 2762 batches
[2022-05-05 12:19:07.296274]: context ppl 443.0584 | text ppl 37.0835 | rating loss 0.8985 |  1600/ 2762 batches
[2022-05-05 12:19:26.448910]: context ppl 441.5683 | text ppl 37.2523 | rating loss 0.8807 |  1800/ 2762 batches
[2022-05-05 12:19:45.596231]: context ppl 445.1086 | text ppl 37.1795 | rating loss 0.8960 |  2000/ 2762 batches
[2022-05-05 12:20:04.746335]: context ppl 442.8080 | text ppl 37.1554 | rating loss 0.8775 |  2200/ 2762 batches
[2022-05-05 12:20:23.898019]: context ppl 444.7142 | text ppl 37.4426 | rating loss 0.8753 |  2400/ 2762 batches
[2022-05-05 12:20:43.037271]: context ppl 444.4996 | text ppl 37.4395 | rating loss 0.8800 |  2600/ 2762 batches
[2022-05-05 12:20:58.491969]: context ppl 445.5723 | text ppl 37.5636 | rating loss 0.8877 |  2762/ 2762 batches
[2022-05-05 12:21:10.537424]: context ppl 488.3559 | text ppl 44.2265 | rating loss 0.9302 | valid loss 4.7195 on validation
[2022-05-05 12:21:10.841472]: epoch 14
[2022-05-05 12:21:30.155938]: context ppl 432.6865 | text ppl 35.5757 | rating loss 0.8951 |   200/ 2762 batches
[2022-05-05 12:21:49.313081]: context ppl 431.5087 | text ppl 35.7555 | rating loss 0.8725 |   400/ 2762 batches
[2022-05-05 12:22:08.465236]: context ppl 437.5402 | text ppl 35.9778 | rating loss 0.8789 |   600/ 2762 batches
[2022-05-05 12:22:27.614335]: context ppl 438.8246 | text ppl 36.6652 | rating loss 0.8898 |   800/ 2762 batches
[2022-05-05 12:22:46.769187]: context ppl 438.3378 | text ppl 36.0866 | rating loss 0.8855 |  1000/ 2762 batches
[2022-05-05 12:23:05.925525]: context ppl 441.3100 | text ppl 36.6775 | rating loss 0.8743 |  1200/ 2762 batches
